"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.007449","0.007449","0.244915","0.244915","0.000199999999999534"
"0.011531","0.011531","0.408172","0.408172","0.000533000000000783"
"0.017245","0.017245","0.571399","0.571399","0.00100000000000122"
"0.024591","0.024591","0.734582","0.734582","0.00159900000000057"
"0.033568","0.033568","0.897709","0.897709","0.00233199999999911"
"0.103492","0.082268","6.992375","4.869997","0.00319830717958691"
"0.190733","0.145024","8.724125","6.275578","0.00419830717958636"
"0.289605","0.216142","9.887263","7.111871","0.00533030717958649"
"0.400124","0.295633","11.051901","7.949110","0.00659730717958684"
"0.522272","0.383482","12.214729","8.784909","0.00799730717958624"
"0.656050","0.479690","13.377824","9.620758","0.00953030717958647"
"0.801487","0.584275","14.543725","10.458483","0.0111983071795869"
"0.958546","0.697209","15.705888","11.293383","0.0129993071795864"
"1.127236","0.818497","16.868967","12.128813","0.0149343071795869"
"1.307580","0.948155","18.034431","12.965841","0.0170023071795864"
"1.499570","1.086176","19.198996","13.802124","0.019205307179587"
"1.703197","1.232553","20.362681","14.637699","0.0215423071795868"
"1.918462","1.387287","21.526553","15.473361","0.0240133071795867"
"2.145367","1.550377","22.690431","16.309015","0.0266173071795865"
"2.383908","1.721823","23.854134","17.144571","0.0293563071795866"
"2.634099","1.901634","25.019066","17.981087","0.0322293071795867"
"2.895939","2.089812","26.184060","18.817778","0.0352353071795868"
"3.169410","2.286344","27.347038","19.653212","0.0383753071795869"
"3.454501","2.491226","28.509128","20.488271","0.0416493071795863"
"3.751255","2.704493","29.675416","21.326689","0.0450573071795866"
"4.059626","2.926115","30.837081","22.162211","0.0485983071795868"
"4.379632","3.156111","32.000627","22.999609","0.052272307179587"
"4.711258","3.394476","33.162553","23.836471","0.056078307179587"
"5.054519","3.641229","34.326108","24.675247","0.0600173071795869"
"5.409378","3.896351","35.485939","25.512213","0.0640883071795866"
"5.775859","4.159869","36.648100","26.351856","0.068291307179587"
"6.153952","4.431789","37.809272","27.191935","0.0726243071795869"
"6.543635","4.712107","38.968323","28.031792","0.0770883071795865"
"6.944904","5.000835","40.126921","28.872791","0.0816823071795865"
"7.357752","5.297984","41.284799","29.714920","0.0864043071795866"
"7.782169","5.603566","42.441697","30.558180","0.091255307179587"
"8.218143","5.917591","43.597364","31.402590","0.0962323071795863"
"8.665658","6.240073","44.751556","32.248186","0.101336307179587"
"9.124699","6.571023","45.904036","33.095020","0.106564307179586"
"9.595248","6.910458","47.054963","33.943441","0.111915307179586"
"10.077313","7.258410","48.206486","34.795245","0.117389307179587"
"10.570843","7.614877","49.352971","35.646622","0.122984307179586"
"11.075826","7.979883","50.498315","36.500652","0.128697307179587"
"11.592255","8.353462","51.642918","37.357905","0.134528307179586"
"12.120085","8.735621","52.782998","38.215931","0.140473307179587"
"12.659308","9.126399","53.922312","39.077747","0.146532307179586"
"13.209893","9.525818","55.058413","39.941889","0.152703307179586"
"13.771799","9.933900","56.190653","40.808200","0.158981307179586"
"14.345008","10.350683","57.320842","41.678316","0.165366307179586"
"14.929492","10.776205","58.448407","42.552154","0.171854307179586"
"15.525206","11.210491","59.571391","43.428626","0.178443307179586"
