"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.005542","0.005542","0.054214","0.054214","4.39999999990448E-05"
"0.006446","0.006446","0.090352","0.090352","0.000118000000000507"
"0.007710","0.007710","0.126482","0.126482","0.000220999999999805"
"0.009337","0.009337","0.162602","0.162602","0.00035400000000152"
"0.011324","0.011324","0.198710","0.198710","0.000516000000001071"
"0.051451","0.046755","4.012789","3.543168","0.000707307179586891"
"0.129162","0.119048","7.771036","7.229253","0.000929307179586836"
"0.217228","0.200975","8.806644","8.192756","0.00117930717958625"
"0.315661","0.292548","9.843305","9.157274","0.00145930717958631"
"0.424449","0.393755","10.878779","10.120728","0.00176930717958612"
"0.543602","0.504607","11.915303","11.085206","0.00210730717958629"
"0.673110","0.625095","12.950752","12.048731","0.00247630717958636"
"0.812981","0.755227","13.987158","13.013201","0.00287330717958678"
"0.963211","0.894998","15.022964","13.977172","0.00330030717958607"
"1.123797","1.044409","16.058634","14.941079","0.00375630717958675"
"1.294742","1.203461","17.094452","15.905192","0.00424130717958615"
"1.476048","1.372158","18.130635","16.869717","0.00475630717958619"
"1.667711","1.550497","19.166311","17.833848","0.00530030717958674"
"1.869731","1.738477","20.201991","18.798066","0.0058733071795869"
"2.082108","1.936101","21.237651","19.762352","0.00647530717958666"
"2.304840","2.143368","22.273267","20.726691","0.00710630717958605"
"2.537928","2.360279","23.308816","21.691066","0.00776730717958607"
"2.781371","2.586833","24.344275","22.655460","0.00845630717958645"
"3.035170","2.823034","25.379894","23.620111","0.00917430717958645"
"3.299325","3.068883","26.415502","24.584868","0.0099223071795862"
"3.573832","3.324377","27.450690","25.549354","0.0106983071795863"
"3.858689","3.589514","28.485698","26.513797","0.0115023071795868"
"4.153903","3.864305","29.521407","27.479026","0.0123363071795861"
"4.459466","4.148741","30.556293","28.443627","0.0131983071795867"
"4.775380","4.442827","31.591384","29.408562","0.0140893071795869"
"5.101644","4.746563","32.626431","30.373607","0.0150093071795867"
"5.438258","5.059950","33.661364","31.338704","0.0159573071795869"
"5.785217","5.382986","34.695932","32.303624","0.0169333071795865"
"6.142529","5.715679","35.731155","33.269323","0.0179383071795867"
"6.510184","6.058023","36.765535","34.234416","0.0189713071795863"
"6.888183","6.410020","37.799936","35.199713","0.0200333071795864"
"7.276529","6.771674","38.834548","36.165397","0.0211223071795867"
"7.675219","7.142986","39.869054","37.131181","0.0222403071795867"
"8.084252","7.523955","40.903230","38.096865","0.0233853071795869"
"8.503625","7.914582","41.937330","39.062692","0.0245583071795865"
